X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.26269190045096,33.786183700178235,1104,0,7423007900,Commercial Improved,Owned,General Services,[Q]C2-1VL-O-CUGU,1148 N AVALON BLVD,LOS ANGELES,LOS ANGELES,-118.2626919,33.7861837,15,9500.837398, 
-118.255207199487415,33.775799190072469,1105,0,7424005901,OPLA,Owned,General Services,[Q]M2-1VL-O-CUGU,444 N LECOUVREUR AVE,LOS ANGELES,LOS ANGELES,-118.2552072,33.77579919,15,7162.5943,None
-118.255912200017363,33.791747939793524,1106,0,7426002900,OPLA,Owned,General Services,[Q]R2-1XL-O-CUGU,PACIFIC COAST HWY/EUBANK AVE,LOS ANGELES,UNKNOWN,-118.2559122,33.79174794,15,380.5569999,None
-118.294522299375274,33.76386975983079,1107,0,7442022901,Not Classified,Owned,General Services,[Q]M1-1VL,WMONT AVE/GAFFEY ST,LOS ANGELES,UNKNOWN,-118.2945223,33.76386976,15,1802.040916,None
-118.29376110024117,33.759094080667182,1108,0,7442023901,Not Classified,Owned,General Services,[Q]M1-1VL,CAPITOL DR/GAFFEY ST,LOS ANGELES,UNKNOWN,-118.2937611,33.75909408,15,1716.653997, 
-118.292831000765659,33.747065999475623,1109,0,7447028900,OPLA,Owned,General Services,R1-1XL,720 SUMMERLAND PL,Los Angeles,LOS ANGELES,-118.292831,33.747066,15,2.506950011, 
-118.293018000363418,33.748273999893705,1110,0,7448008900,OPLA,Owned,General Services,C1-1XL,ELBERON AVE/GAFFEY ST,Los Angeles,LOS ANGELES,-118.293018,33.748274,15,541.3513999, 
-118.381321400153979,34.283856599983551,1111,0,2530038900,Not Classified,Owned,General Services,R1-1,TERRA VISTA WAY/TERRA BELLA ST,LOS ANGELES,LAKE VIEW TERRACE,-118.3813214,34.2838566,7,2663.141548, 
-118.622213200043703,34.173962740112017,1112,0,2040006901,Not Classified,Owned,General Services,R1-1,COLLINS ST/FALLBROOK AVE,LOS ANGELES,WOODLAND HILLS,-118.6222132,34.17396274,3,30.14999963, 
-118.622987500207898,34.173912559402254,1113,0,2040006902,Not Classified,Owned,General Services,R1-1,COLLINS ST/FALLBROOK AVE,LOS ANGELES,WOODLAND HILLS,-118.6229875,34.17391256,3,793.8536757, 
-118.635445899811771,34.17099153048084,1114,0,2044001905,Not Classified,Owned,General Services,RA-1,BERDON ST/SADRING AVE,LOS ANGELES,UNKNOWN,-118.6354459,34.17099153,3,1164.163251, 
-118.633685299771258,34.167342940138575,1115,0,2044016900,Not Classified,Owned,General Services,R1-1,LADRILLO ST/WOODLAKE AVE,LOS ANGELES,UNKNOWN,-118.6336853,34.16734294,3,46.27645048, 
-118.632448599899391,34.16736843938866,1116,0,2044016901,Not Classified,Owned,General Services,R1-1,LADRILLO ST/WOODLAKE AVE,LOS ANGELES,UNKNOWN,-118.6324486,34.16736844,3,26.36750011, 
-118.632294399589298,34.167414060335226,1117,0,2044016902,Not Classified,Owned,General Services,R1-1,LADRILLO ST/WOODLAKE AVE,LOS ANGELES,UNKNOWN,-118.6322944,34.16741406,3,88.98975615, 
-118.631801800318414,34.155901160128344,1118,0,2074033900,OPLA,Owned,General Services,RA-1,ALMIDOR AVE/HEISS ST,Los Angeles,LOS ANGELES,-118.6318018,34.15590116,3,135.9732989, 
-118.632030700035941,34.155892840358561,1119,0,2074033901,OPLA,Owned,General Services,RA-1,4705 ALMIDOR AVE,Los Angeles,LOS ANGELES,-118.6320307,34.15589284,3,5.273800026, 
-118.631928600215716,34.154673089457006,1120,0,2074033902,Not Classified,Owned,General Services,RA-1VL,LIAHONA PL/CUMORAH CREST DR,LOS ANGELES,UNKNOWN,-118.6319286,34.15467309,3,41.06814369, 
-118.539385400219132,34.212925769753653,1121,0,2103022905,Not Classified,Owned,General Services,(T)RS-1,ELKWOOD ST/YOLANDA AVE,LOS ANGELES,UNKNOWN,-118.5393854,34.21292577,3,146.3591002, 
-118.548927200064156,34.214730049643677,1122,0,2104005900,Not Classified,Owned,General Services,RA-1,BLYTHE ST/VANALDEN AVE,LOS ANGELES,UNKNOWN,-118.5489272,34.21473005,3,94.99955018, 
-118.557571499397028,34.219601060574476,1123,0,2105017900,Not Classified,Owned,General Services,RS-1,CANTARA ST/SHIRLEY AVE,LOS ANGELES,UNKNOWN,-118.5575715,34.21960106,3,9.204849943, 
-118.557255500826159,34.219570669390343,1124,0,2105017901,Not Classified,Owned,General Services,RA-1,CANTARA ST/TUNNEY AVE,LOS ANGELES,UNKNOWN,-118.5572555,34.21957067,3,2580.578499, 
-118.556647699806604,34.219575649908535,1125,0,2105018900,Not Classified,Owned,General Services,RA-1,CANTARA ST/TUNNEY AVE,LOS ANGELES,UNKNOWN,-118.5566477,34.21957565,3,1730.3496,None
-118.554763399954837,34.219586049942599,1126,0,2105018905,Not Classified,Owned,General Services,RA-1,CANTARA ST/AURA AVE,LOS ANGELES,UNKNOWN,-118.5547634,34.21958605,3,150.15395, 
-118.556338500584147,34.219578179907643,1127,0,2105018906,Not Classified,Owned,General Services,RA-1,CANTARA ST/TUNNEY AVE,LOS ANGELES,UNKNOWN,-118.5563385,34.21957818,3,65.61259998, 
-118.564816799337322,34.209954960115077,1128,0,2106011900,Not Classified,Owned,General Services,R1-1,HATILLO AVE/STAGG ST,LOS ANGELES,UNKNOWN,-118.5648168,34.20995496,3,26.99, 
-118.56481669962433,34.209880759348465,1129,0,2106011901,Not Classified,Owned,General Services,R1-1,HATILLO AVE/STAGG ST,LOS ANGELES,UNKNOWN,-118.5648167,34.20988076,3,27.0099999, 
-118.584181000382799,34.21960451982347,1130,0,2108001902,OPLA,Owned,General Services,RS-1,IRONDALE AVE/CANTARA ST,Los Angeles,LOS ANGELES,-118.584181,34.21960452,3,1000.04726, 
-118.583059300138672,34.219066439613734,1131,0,2108001908,Not Classified,Owned,General Services,RS-1,CANTARA ST/LURLINE AVE,LOS ANGELES,UNKNOWN,-118.5830593,34.21906644,3,21.63471213, 
